,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.89761764
1,NN1,0,balanced_accuracy,0.73109996
2,NN1,0,precision,0.8609958
3,NN1,0,sensitivity,0.4781106
4,NN1,0,f1_score,0.6148148
5,NN1,0,mcc,0.5936378
6,NN2,0,simple_accuracy,0.9033274
7,NN2,0,balanced_accuracy,0.7532926
8,NN2,0,precision,0.85233647
9,NN2,0,sensitivity,0.5253456
10,NN2,0,f1_score,0.6500356
11,NN2,0,mcc,0.62116784
12,NN3,0,simple_accuracy,0.8291002
13,NN3,0,balanced_accuracy,0.5
14,NN3,0,precision,0.0
15,NN3,0,sensitivity,0.0
16,NN3,0,f1_score,0.0
17,NN3,0,mcc,0.0
18,NN4,0,simple_accuracy,0.8291002
19,NN4,0,balanced_accuracy,0.5
20,NN4,0,precision,0.0
21,NN4,0,sensitivity,0.0
22,NN4,0,f1_score,0.0
23,NN4,0,mcc,0.0
24,NN5,0,simple_accuracy,0.8291002
25,NN5,0,balanced_accuracy,0.5
26,NN5,0,precision,0.0
27,NN5,0,sensitivity,0.0
28,NN5,0,f1_score,0.0
29,NN5,0,mcc,0.0
30,NN6,0,simple_accuracy,0.8291002
31,NN6,0,balanced_accuracy,0.5
32,NN6,0,precision,0.0
33,NN6,0,sensitivity,0.0
34,NN6,0,f1_score,0.0
35,NN6,0,mcc,0.0
